id,imdb_id,name,popularity,image_resource
3194176,nm13112435,Angeli Khang,207.229,classpath:/static/images/celebs/img_3194176.jpg
2710789,nm13364301,Seung Ha,174.087,classpath:/static/images/celebs/img_2710789.jpg
2980860,nm4765467,Marianly Tejada,138.77,classpath:/static/images/celebs/img_2980860.jpg
6614,nm0369513,Cole Hauser,128.783,classpath:/static/images/celebs/img_6614.jpg
1373737,nm6073955,Florence Pugh,118.818,classpath:/static/images/celebs/img_1373737.jpg
21416,nm0001137,William Devane,118.066,classpath:/static/images/celebs/img_21416.jpg
1907997,nm9250205,Min Do-yoon,113.483,classpath:/static/images/celebs/img_1907997.jpg
1980651,nm7567974,Finn Little,112.899,classpath:/static/images/celebs/img_1980651.jpg
56457,nm0305083,Aimee Garcia,107.949,classpath:/static/images/celebs/img_56457.jpg
1972974,nm8908475,Isabel May,106.253,classpath:/static/images/celebs/img_1972974.jpg
1136406,nm4043618,Tom Holland,104.302,classpath:/static/images/celebs/img_1136406.jpg
33260,nm0005327,Freddie Prinze Jr.,104.267,classpath:/static/images/celebs/img_33260.jpg
976,nm0005458,Jason Statham,97.811,classpath:/static/images/celebs/img_976.jpg
224513,nm1869101,Ana de Armas,97.738,classpath:/static/images/celebs/img_224513.jpg
56734,nm1631269,Chloë Grace Moretz,95.568,classpath:/static/images/celebs/img_56734.jpg
192,nm0000151,Morgan Freeman,95.033,classpath:/static/images/celebs/img_192.jpg
1312450,nm3148372,Melanie Zanetti,94.452,classpath:/static/images/celebs/img_1312450.jpg
125025,nm1428821,Joey King,87.647,classpath:/static/images/celebs/img_125025.jpg
117642,nm0597388,Jason Momoa,87.466,classpath:/static/images/celebs/img_117642.jpg
17521,nm0717709,Kelly Reilly,85.275,classpath:/static/images/celebs/img_17521.jpg
3371804,nm12763049,Christine Bermas,85.197,classpath:/static/images/celebs/img_3371804.jpg
6161,nm0000124,Jennifer Connelly,85.191,classpath:/static/images/celebs/img_6161.jpg
1215399,nm0792263,Taylor Sheridan,82.994,classpath:/static/images/celebs/img_1215399.jpg
18918,nm0425005,Dwayne Johnson,81.026,classpath:/static/images/celebs/img_18918.jpg
111924,nm2566096,Ryan Grantham,79.933,classpath:/static/images/celebs/img_111924.jpg
1083010,nm4004793,Letitia Wright,77.471,classpath:/static/images/celebs/img_1083010.jpg
2948828,nm10918635,AJ Raval,77.102,classpath:/static/images/celebs/img_2948828.jpg
130414,nm2387806,Emily Beecham,75.071,classpath:/static/images/celebs/img_130414.jpg
31,nm0000158,Tom Hanks,74.891,classpath:/static/images/celebs/img_31.jpg
56680,nm2093766,Luke Grimes,74.313,classpath:/static/images/celebs/img_56680.jpg
936932,nm4348240,Adam DiMarco,72.48,classpath:/static/images/celebs/img_936932.jpg
114019,nm1812656,Luke Evans,72.12,classpath:/static/images/celebs/img_114019.jpg
12835,nm0004874,Vin Diesel,71.515,classpath:/static/images/celebs/img_12835.jpg
115440,nm2858875,Sydney Sweeney,71.157,classpath:/static/images/celebs/img_115440.jpg
10859,nm0005351,Ryan Reynolds,70.099,classpath:/static/images/celebs/img_10859.jpg
74568,nm1165110,Chris Hemsworth,69.301,classpath:/static/images/celebs/img_74568.jpg
1356210,nm5611121,Millie Bobby Brown,69.033,classpath:/static/images/celebs/img_1356210.jpg
205976,nm2080328,Kelsey Asbille,68.516,classpath:/static/images/celebs/img_205976.jpg
164945,nm1083404,Sarah Shahi,66.638,classpath:/static/images/celebs/img_164945.jpg
2019485,nm7474882,Kayla Wallace,66.223,classpath:/static/images/celebs/img_2019485.jpg
79127,nm0365530,Claudia Harrison,66.016,classpath:/static/images/celebs/img_79127.jpg
2524,nm0362766,Tom Hardy,64.726,classpath:/static/images/celebs/img_2524.jpg
1522703,nm7495853,Hande Erçel,63.248,classpath:/static/images/celebs/img_1522703.jpg
3287482,,Santa Pongsapak Oudompoch,63.028,classpath:/static/images/celebs/img_3287482.jpg
974169,nm4911194,Jenna Ortega,60.321,classpath:/static/images/celebs/img_974169.jpg
543261,nm2394794,Karen Gillan,59.996,classpath:/static/images/celebs/img_543261.jpg
1369057,nm3211868,Katherine Cunningham,59.553,classpath:/static/images/celebs/img_1369057.jpg
2590519,nm13391412,Han Yi-seul,59.044,classpath:/static/images/celebs/img_2590519.jpg
3896,nm0000553,Liam Neeson,58.895,classpath:/static/images/celebs/img_3896.jpg
43858,nm0403652,Ryan Hurst,58.294,classpath:/static/images/celebs/img_43858.jpg
1269,nm0000126,Kevin Costner,58.097,classpath:/static/images/celebs/img_1269.jpg
118545,nm0424848,Dakota Johnson,58.087,classpath:/static/images/celebs/img_118545.jpg
1468490,nm8588870,Kang Eun-hye,57.071,classpath:/static/images/celebs/img_1468490.jpg
5292,nm0000243,Denzel Washington,54.764,classpath:/static/images/celebs/img_5292.jpg
2472212,nm13286762,Sae Bom,54.734,classpath:/static/images/celebs/img_2472212.jpg
1333809,nm0808210,Forrie J. Smith,54.086,classpath:/static/images/celebs/img_1333809.jpg
2267919,nm10557982,Kristina Tonteri-Young,53.287,classpath:/static/images/celebs/img_2267919.jpg
73269,nm0665235,Elsa Pataky,53.132,classpath:/static/images/celebs/img_73269.jpg
6193,nm0000138,Leonardo DiCaprio,52.827,classpath:/static/images/celebs/img_6193.jpg
883,nm0001599,Will Patton,52.034,classpath:/static/images/celebs/img_883.jpg
3371806,nm13281579,Rob Guinto,52.011,classpath:/static/images/celebs/img_3371806.jpg
2230991,nm8402992,Daisy Edgar-Jones,51.766,classpath:/static/images/celebs/img_2230991.jpg
1245,nm0424060,Scarlett Johansson,51.38,classpath:/static/images/celebs/img_1245.jpg
73457,nm0695435,Chris Pratt,51.214,classpath:/static/images/celebs/img_73457.jpg
47296,nm0604742,Jeffrey Dean Morgan,51.199,classpath:/static/images/celebs/img_47296.jpg
9780,nm0000291,Angela Bassett,51.067,classpath:/static/images/celebs/img_9780.jpg
2231,nm0000168,Samuel L. Jackson,50.914,classpath:/static/images/celebs/img_2231.jpg
517,nm0000112,Pierce Brosnan,50.825,classpath:/static/images/celebs/img_517.jpg
1190668,nm3154303,Timothée Chalamet,50.414,classpath:/static/images/celebs/img_1190668.jpg
42374,nm0043704,Nicki Aycox,50.373,classpath:/static/images/celebs/img_42374.jpg
18082,nm0648249,Timothy Olyphant,49.79,classpath:/static/images/celebs/img_18082.jpg
2037,nm0614165,Cillian Murphy,49.055,classpath:/static/images/celebs/img_2037.jpg
1499908,nm6076950,Hassie Harrison,48.392,classpath:/static/images/celebs/img_1499908.jpg
